Name,Address,Time,Close,Tel,PASELI
ゲームゾーン,愛知県一宮市羽衣2-5-1,,, 0586-52-3600,1
楽市楽座 イオンモール扶桑店,愛知県丹羽郡扶桑町南山名字高塚5, 9:00-23:00, 無し, 0587-93-7132,0
M'sPARK刈谷店,愛知県刈谷市稲場町3-206, 10:00-24:00, 無し, 0566-27-5822,1
ラウンドワン名古屋西春店,愛知県北名古屋市宇福寺神明15, 10:00-翌6:00/土9:00-翌6:00/日・祝8:00-翌6:00, 無し, 0568-26-4001,1
半田メトロポリス2F,愛知県半田市旭町3-11-1半田コロナワールド内2F, 平日10:00-24:00、土日祝日前9:00-24:00、日・祝日8:00-24:00, 無し, 0569-24-5226,1
ラウンドワン半田店,愛知県半田市瑞穂町6-7-8, 10:00-24:00/土9:00-24:00/日・祝8:00-24:00, 無し, 0569-25-7351,1
アーバンスクエア大須店,愛知県名古屋市中区大須3-30-31萬松寺駐車場ビル1F 2F, 10:00-24:00, 無し, 052-242-2011,1
Candy名古屋,愛知県名古屋市中区新栄2-45-26, 10:00-24:00, 無し, 052-261-6381,1
アミューズメントメガスペースキングジョイ,愛知県名古屋市中区栄3-3-32, 9:00-24:00, 無し, 052-241-9515,1
コムテックスクエアー,愛知県名古屋市中区金山1-16-8, 10:00-24:00,, 052-321-5601,1
コスタデルソル,愛知県名古屋市中区錦3-17-26, 10:00-24:00, 無し, 052-962-8686,1
中川メトロポリス,愛知県名古屋市中川区江松3-110, 平日10:00-24:00、土日祝日9:00-24:00, 無し, 052-303-9701,1
ラウンドワン中川･1号線店,愛知県名古屋市中川区法蔵町2-23, 10:00-24:00/土9:00-24:00/日・祝8:00-24:00, 無し, 052-665-5353,1
コムテックタワー,愛知県名古屋市中村区名駅4-10-20, 10:00-24:00,, 052-565-6471,1
名古屋レジャーランドささしま店,愛知県名古屋市中村区平池町4-60-14マーケットスクエアささしま1F, 10:00-24:00, 無し, 052-589-6561,1
名古屋レジャーランド内田橋店,愛知県名古屋市南区内田橋2-26-22, 一部24時間営業, 無し, 052-694-6051,1
モーリーファンタジーF･新瑞橋,愛知県名古屋市南区菊住1-7-10モーリーファンタジー3F,,, 052-824-5221,1
ディノスパーク守山,愛知県名古屋市守山区西島町110コンコルド2F, 10:00-24:00, 無し, 052-758-4750,1
ポート24八事店,愛知県名古屋市昭和区広路町字北石坂102-4, 09:00-24:00, 無休, 052-834-9200,1
名古屋レジャーランド大高店,愛知県名古屋市緑区大高町字忠治山12-1名古屋グランドホウル内B2F, 一部24時間営業, 無し, 052-625-5360,1
安城メトロポリス,愛知県安城市浜富町6-8, 平日10:00-24:00、土日祝日9:00-24:00, 無し, 0566-74-8238,1
小牧メトロポリス,愛知県小牧市間々片山181, 平日10:00-24:00、土日祝日9:00-24:00, 無し, 0568-71-0005,1
M'Sパーク三郷店,愛知県尾張旭市南原山町赤土230, 10:00-24:00, 無し, 0561-52-4646,1
ゲームファンタジアン岡崎店,愛知県岡崎市錦町2-4, 10:00-翌5:00, 無し, 0564-66-0505,1
ゲームファンタジアン長久手店,愛知県愛知郡長久手町武蔵塚705, 9:00-24:00, 無し, 0561-64-5205,1
コムテックプラザ赤池,愛知県日進市赤池1-2901, 10:00-翌3:00,, 052-807-2666,1
ゲームプラザ ミッキー,愛知県稲沢市朝府町2-33, 11:00-24:00, 無し, 0587-23-4397,1
豊川メトロポリス,愛知県豊川市下長山町上アライ14-1, 平日10:00-24:00 土日9:00-24:00, 無し, 0533-85-6540,1
WAVE白鳥店,愛知県豊川市白鳥町字京次55-1, 10:00-24:00, 無休, 0533-88-6444,1
ラウンドワン豊橋店,愛知県豊橋市大岩町字岩田27-2, 店舗に直接お問い合わせください, JR「二川駅」より徒歩約10分, 0532-65-2212,1
La･Fiesta,愛知県豊橋市広小路1-6-2, 10:00-24:00, 無し, 0532-55-5963,1
M'Sパーク豊田店,愛知県豊田市寿町3-10番11, 一部24時間営業,, 0565-71-0027,1
