Name,Address,Time,Close,Tel,PASELI
アミュージアム周南店,山口県下松市中央町21-3THEMALL周南3F, 10:00-23:00, 無し, 0833-44-3290,1
ラウンドワン下関店,山口県下関市東大和町1-16-15, 店舗に直接お問い合わせください, 無し, 083-261-2280,1
GAMEパフェ,山口県下関市竹崎町4-4-8シーモール下関5F, 10:00-21:00, 施設の営業日に準じる, 083-223-3848,1
アミパラ下関店,山口県下関市長府才川1-42-48, 10:00-24:00, 無し, 0832-48-5008,1
ゲームスポットSPEED,山口県周南市久米3091-1ワンダービル2F, 10:00-24:00, 無し, 0834-36-2828,1
サンゲームス宇部店,山口県宇部市中央町3-16-20, 14:00-1:00, 無し, 0836-37-1198,1
カッタの湯宇部店,山口県宇部市海南町1675ゲームコーナー, 10:00-24:00, 無し, 0836-37-2626,1
GAME ALEX,山口県宇部市西宇部南3-5-53, 10:00-24:00, 無し, 0836-39-3587,1
3RDプラネット山口店,山口県山口市湯田温泉6-8-3, 9:00-24:00, 無し, 083-933-0307,1
ギガゾーン岩国店,山口県岩国市室の木1-5-5,,, 0827-30-0330,1
ケイズ,山口県岩国市麻里布町2-5-17, 10:00-24:00, 無し, 0827-21-3275,1
ネオブラボー,山口県防府市高倉1-3-30, 11:00-24:00, 無し, 0835-23-9570,1
