Name,Address,Time,Close,Tel,PASELI
タイガー一宮店,愛知県一宮市富士3-1-33,,, 0586-71-3921,1
ゲームゾーン,愛知県一宮市羽衣2-5-1,,, 0586-52-3600,1
楽市楽座 イオンモール扶桑店,愛知県丹羽郡扶桑町南山名字高塚5, 9:00-23:00, 無し, 0587-93-7132,0
ラウンドワン刈谷境川店,愛知県刈谷市今川町阿野前20-1享楽ASKビル3F, 10:00-翌5:00/土9:00-翌5:00/日・祝8:00-翌5:00, 無し, 0566-26-6811,1
M'sPARK刈谷店,愛知県刈谷市稲場町3-206, 10:00-24:00, 無し, 0566-27-5822,1
K'Sスポット,愛知県刈谷市稲場町5-611, 一部24時間営業, 無休, 0566-24-1149,1
楽市楽座022名古屋店1階,愛知県北名古屋市中之郷字神明45-145-1 楽市街道名古屋店内, 10:00-24:00, 無し, 0568-27-2622,0
ラウンドワン名古屋西春店,愛知県北名古屋市宇福寺神明15, 10:00-翌6:00/土9:00-翌6:00/日・祝8:00-翌6:00, 無し, 0568-26-4001,1
a JACK 半田店,愛知県半田市州の崎町2-188,,, 0569-29-3388,1
半田メトロポリス2F,愛知県半田市旭町3-11-1半田コロナワールド内2F, 平日10:00-24:00、土日祝日前9:00-24:00、日・祝日8:00-24:00, 無し, 0569-24-5226,1
ラウンドワン半田店,愛知県半田市瑞穂町6-7-8, 10:00-24:00/土9:00-24:00/日・祝8:00-24:00, 無し, 0569-25-7351,1
アーバンスクエア大須店,愛知県名古屋市中区大須3-30-31萬松寺駐車場ビル1F 2F, 10:00-24:00, 無し, 052-242-2011,1
Candy名古屋,愛知県名古屋市中区新栄2-45-26, 10:00-24:00, 無し, 052-261-6381,1
アミューズメントメガスペースキングジョイ,愛知県名古屋市中区栄3-3-32, 9:00-24:00, 無し, 052-241-9515,1
サーカスサーカス,愛知県名古屋市中区栄4-3-4, 09:00-24:00, 無し, 052-241-8317,1
コムテックスクエアー,愛知県名古屋市中区金山1-16-8, 10:00-24:00,, 052-321-5601,1
コスタデルソル,愛知県名古屋市中区錦3-17-26, 10:00-24:00, 無し, 052-962-8686,1
VAMP中川店,愛知県名古屋市中川区新家1-2007, 10:00-24:00, 無し, 052-439-1250,1
ラウンドワン名駅南店,愛知県名古屋市中川区松重町4-35Taiho名駅南ビル, 10:00-24:00/土9:00-24:00/日・祝8:00-24:00, 無し, 052-350-4511,1
中川メトロポリス,愛知県名古屋市中川区江松3-110, 平日10:00-24:00、土日祝日9:00-24:00, 無し, 052-303-9701,1
ラウンドワン中川･1号線店,愛知県名古屋市中川区法蔵町2-23, 10:00-24:00/土9:00-24:00/日・祝8:00-24:00, 無し, 052-665-5353,1
コムテックタワー,愛知県名古屋市中村区名駅4-10-20, 10:00-24:00,, 052-565-6471,1
名古屋レジャーランドささしま店,愛知県名古屋市中村区平池町4-60-14マーケットスクエアささしま1F, 10:00-24:00, 無し, 052-589-6561,1
サーカスサーカス中丸町店,愛知県名古屋市北区中丸町2-23, 10:00-24:00,, 052-914-1960,1
ファンタジープラザ名古屋店,愛知県名古屋市北区玄馬町234-1クロスタウン2F, 10:00-翌5:00, 無し, 052-938-3461,1
GREA,愛知県名古屋市千種区今池5-22-2,,, 052-731-2653,1
ラウンドワン千種店,愛知県名古屋市千種区新栄3-20-17タイホウ千種駅前南ビル8F, 9:00-翌0:00/土・日・祝9:00-24:00, 無し, 052-238-1615,1
名古屋レジャーランド内田橋店,愛知県名古屋市南区内田橋2-26-22, 一部24時間営業, 無し, 052-694-6051,1
ポート24一社店,愛知県名古屋市名東区高社1-260, 09:00-24:00, 無休, 052-771-2311,1
ディノスパーク守山,愛知県名古屋市守山区西島町110コンコルド2F, 10:00-24:00, 無し, 052-758-4750,1
